ACID,name,link,shop_name,price,operation,level,frequency,purify,Type,CWType,horse,good_func,apply_space,Featured,statu,Set_type,apply_house,duct_form,brand,wind_position,NO_drainage,min_height,cost,user_preference,CommentCountStr,AverageScore,GoodCountStr,GeneralCountStr,PoorCountStr,GoodRate
64941139762,TCLKFRd-35GW/D-XG21Bp(B1),//item.jd.com/64941139762.html,TCL官方旗舰店,1799.00,键控/遥控,一级能效,变频,无,壁挂式,冷暖,大1.5匹,智能调节，自清洁,#,#,#,#,#,#,TCL,#,#,#,#,#,1万+,5,1万+,20+,40+,0.99
10100295398554,海尔（Haier）KFR-35GW/B1BHA81U1,//item.jd.com/10100295398554.html,海尔天宇浩健专卖店,500.00,APP操控,一级能效,变频,#,壁挂式,冷暖,2.5匹,#,#,#,#,#,#,#,海尔（Haier）,#,#,#,#,#,73,5,0,0,0,1.0
10101436388930,美的（Midea）KFR-26GW/N8ZHA1Ⅱ,//item.jd.com/10101436388930.html,美的空调旗舰店,2099.00,键控/遥控，APP操控,一级能效,变频,#,壁挂式,冷暖,大1匹,#,#,#,#,#,#,#,美的（Midea）,#,#,#,#,#,1万+,5,6600+,8,20+,0.99
10090536863397,志高（CHIGO）空调挂机,//item.jd.com/10090536863397.html,志高爱默生专卖店,2899.00,键控/遥控,一级能效,变频,#,壁挂式,冷暖,大2匹,自清洁，独立除湿，可拆洗,#,#,#,#,#,#,志高（CHIGO）,#,#,#,#,#,1万+,5,9400+,5,10+,0.99
10047867303480,菱昊（LINGHAO）电梯空调小1P单冷1.5匹2p冷暖3匹电梯轿厢专用空调观光梯空调 小1p单冷【带滴水盘】带发票,//item.jd.com/10047867303480.html,琦依舍空调专营店,1749.00,键控/遥控,三级能效,定频,无,立柜式,单冷,1匹,智能调节,#,#,#,#,#,#,菱昊（LINGHAO）,#,#,#,#,#,500+,5,400+,0,0,1.0
10033917344340,小米（MI）KFR-26GW/V1A1,//item.jd.com/10033917344340.html,小米空调专卖店,1599.00,键控/遥控，APP操控,一级能效,变频,无,壁挂式,冷暖,大1匹,智能调节，自清洁,#,#,#,#,#,#,小米（MI）,#,#,#,#,#,5000+,5,2900+,10+,30+,0.98
10106498494649,CHANG CHENG【一级能效】空调1.5匹冷暖长城家用出租房卧室壁挂式舒适节能变频空调挂机 大1匹 一级能效 单冷 上门安装,//item.jd.com/10106498494649.html,晶宇家用电器专营店,1369.00,键控/遥控,一级能效,定频,#,壁挂式,单冷,5匹,#,#,#,#,#,#,#,長城（CHANG CHENG）,#,#,#,#,#,100+,5,100+,0,0,1.0
10099276772746,奥克斯（AUX）KFR-35GW/BpR3AQE1(B1),//item.jd.com/10099276772746.html,奥克斯空调万盛达专卖店,1399.00,键控/遥控,三级能效,变频,#,壁挂式,单冷,大1匹,#,#,#,#,#,#,#,奥克斯（AUX）,#,#,#,#,#,1万+,5,7700+,20+,70+,0.98
10105004656161,美的（Midea）KFR-26GW/N8KS1-1,//item.jd.com/10105004656161.html,美的空调精选旗舰店,2099.00,键控/遥控，APP操控,一级能效,变频,抗菌，除菌,壁挂式,冷暖,1匹,智能调节，自清洁，独立除湿,#,#,#,#,#,#,美的（Midea）,#,#,#,#,#,1000+,5,400+,2,3,0.98
10109166418252,MIDEA美的美的KFR-32GW/N8KS1-3,//item.jd.com/10109166418252.html,美宁空调电器店,1378.00,键控/遥控,一级能效,变频,#,壁挂式,冷暖,2.5匹,#,#,#,#,#,#,#,#,#,#,#,#,#,0,5,0,0,0,1.0
10028102207909,美博（MBO）KFRD-35GW/C8-N5,//item.jd.com/10028102207909.html,MBO美博官方旗舰店,1749.00,键控/遥控,五级能效,定频,抗菌，除菌,壁挂式,单冷,1.5匹,自清洁，静音设计，可拆洗,#,#,#,#,#,#,美博（MBO）,#,#,#,#,#,5000+,5,600+,10,20+,0.95
10080480538487,格力（GREE）KFR-35GW/NhGc1B,//item.jd.com/10080480538487.html,格力空调旗舰店,2449.00,键控/遥控,三级能效,变频,无,壁挂式,冷暖,1.5匹,自清洁，独立除湿,#,#,#,#,#,#,格力（GREE）,#,#,#,#,#,2万+,5,8400+,60+,100+,0.97
10102327151324,夏新KF-26GW/AMKL,//item.jd.com/10102327151324.html,夏新空调旗舰店,1111.00,键控/遥控,五级能效,定频,无，VP-过滤网,壁挂式,单冷,大1匹,自清洁，静音设计，独立除湿,#,#,#,#,#,#,夏新,#,#,#,#,#,2000+,5,700+,5,20+,0.96
10102970743463,DENBIG空调挂机 冷暖空调 1.5匹一级能效变频变频挂式家用除湿卧室节能巨省电 酷省电 以旧换新 大1匹 套装 单冷适用【适用20㎡内】 包含JD基础安装,//item.jd.com/10102970743463.html,登比 DENBIG空调旗舰店,1169.00,键控/遥控,五级能效,定频,#,壁挂式,单冷,大1匹,静音设计，独立除湿,#,#,#,#,#,#,登比 DENBIG,#,#,#,#,#,1000+,5,200+,5,10+,0.93
10070550661951,格力（GREE）KFR-35GW/NhGc1B,//item.jd.com/10070550661951.html,格力董明珠店15号店,2699.00,键控/遥控,一级能效,变频,除菌,壁挂式,冷暖,1.5匹,自清洁，独立除湿,#,#,#,#,#,#,格力（GREE）,#,#,#,#,#,2000+,5,400+,9,20+,0.93
10071473465974,奥克斯（AUX）KFR-33GW/BpR3PQK16(B1),//item.jd.com/10071473465974.html,奥克斯小灰猫专卖店,1810.00,键控/遥控,一级能效,变频,除菌,壁挂式,冷暖,1.5匹,智能调节，静音设计，独立除湿,#,#,#,#,#,#,奥克斯（AUX）,#,#,#,#,#,2000+,5,700+,4,10,0.98
10026206699400,奥克斯（AUX）KFR-33GW/BpR3PQK16(B1),//item.jd.com/10026206699400.html,奥克斯星火专卖店,1799.00,键控/遥控,一级能效,变频,除菌,壁挂式,冷暖,大1匹,自清洁，静音设计，独立除湿,#,#,#,#,#,#,奥克斯（AUX）,#,#,#,#,#,2万+,5,1.1万+,20+,90+,0.98
10100225797659,欧品 OPING2,//item.jd.com/10100225797659.html,欧喃电器店,1449.00,键控/遥控,一级能效,定频,#,壁挂式,单冷,大1.5匹,#,#,#,#,#,#,#,欧品 OPING,#,#,#,#,#,500+,5,100+,3,2,0.97
10105985947442,KBN【上门安装】空调挂机单冷暖新风空调家用卧室出租房壁挂式空调节能省电新能效 1匹 一级能效 冷暖【上门安装】,//item.jd.com/10105985947442.html,顾奢电器专营店,1549.00,键控/遥控,一级能效,变频,VP-过滤网,壁挂式,冷暖,1.5匹,静音设计，独立除湿，可拆洗,#,#,#,#,#,#,KBN,#,#,#,#,#,1000+,5,100+,1,10+,0.93
10094577101099,海信KFR-72GW/A8D890N-A2(TJ),//item.jd.com/10094577101099.html,海信新进越专卖店,4799.00,键控/遥控，APP操控,二级能效,变频,除PM2.5，抗菌，VP-过滤网,壁挂式,冷暖,3匹,智能调节，静音设计，可拆洗,#,#,#,#,#,#,海信,#,#,#,#,#,100+,5,50+,1,0,0.98
10095413022237,格力（GREE）KFR-26GW/NhGc3B,//item.jd.com/10095413022237.html,格力董明珠店8号店,2249.00,键控/遥控,三级能效,变频,抗菌，除菌,壁挂式,冷暖,1匹,电辅加热，自清洁，可拆洗,#,#,#,#,#,#,格力（GREE）,#,#,#,#,#,500+,5,200+,4,1,0.97
10101499361768,AMCOR空调1.5匹一级能效变频冷暖空调挂机 酷省电壁挂式卧室新风空调 客厅空调酷静冷暖空调 独立除湿 1匹 套装 单冷【全铜管】 JD基础安装,//item.jd.com/10101499361768.html,AMCOR电器旗舰店,1075.00,键控/遥控,五级能效,定频,除PM2.5，除甲醛，除菌,壁挂式,单冷,1匹,智能调节，新风，独立除湿,#,#,#,#,#,#,AMCOR,#,#,#,#,#,5000+,5,1400+,10+,40+,0.96
10099926335761,欧品（oping）大1匹空调挂机一级能效 变频 冷暖 节能省电 快速制冷低噪家用租 1匹 一级能效 单冷+上门安装 全国十年质保,//item.jd.com/10099926335761.html,诗霖电器小店,1239.00,#,一级能效,定频,#,壁挂式,单冷,#,#,#,#,#,#,#,#,欧品（oping）,#,#,#,#,#,100+,5,100+,0,0,1.0
10109166443866,MIDEA美的美的KFR-32GW/N8KS1-3,//item.jd.com/10109166443866.html,美宁空调电器店,1488.00,键控/遥控,一级能效,变频,#,壁挂式,冷暖,2.5匹,#,#,#,#,#,#,#,#,#,#,#,#,#,0,5,0,0,0,1.0
10097777752178,TCLKFRd-34GW/D-LH11Bp(B3),//item.jd.com/10097777752178.html,TCL典泛专卖店,1630.00,键控/遥控,三级能效,变频,除菌,壁挂式,冷暖,1.5匹,电辅加热，自清洁，可拆洗,#,#,#,#,#,#,TCL,#,#,#,#,#,500+,5,200+,0,1,0.99
10028660967821,奥克斯（AUX）KFR-35GW/BpR3AQE1(B3),//item.jd.com/10028660967821.html,奥克斯官方旗舰店,1799.00,键控/遥控,三级能效,变频,抗菌,壁挂式,冷暖,1.5匹,静音设计，独立除湿，可拆洗,#,#,#,#,#,#,奥克斯（AUX）,#,#,#,#,#,2万+,5,1.4万+,60+,100+,0.98
10100225797660,欧品 OPING2,//item.jd.com/10100225797660.html,欧喃电器店,1629.00,键控/遥控,一级能效,定频,#,壁挂式,单冷,大1.5匹,#,#,#,#,#,#,#,欧品 OPING,#,#,#,#,#,500+,5,100+,3,2,0.97
10096565965939,奥克斯（AUX）KFR-35GW/BpR3AQE1(B1),//item.jd.com/10096565965939.html,奥克斯空调旗舰店,1899.00,键控/遥控,一级能效,变频,银离子抗菌滤网,壁挂式,冷暖,大1.5匹,电辅加热，自清洁，独立除湿,#,#,#,#,#,#,奥克斯（AUX）,#,#,#,#,#,2万+,5,9700+,10+,50+,0.99
100098905273,奥克斯KFR-35GW/BpR3AQF19(B1),//item.jd.com/100098905273.html,京东电器自营官方旗舰店,#,键控/遥控,一级能效,变频,#,壁挂式,冷暖,大1.5匹,#,#,#,#,#,#,#,奥克斯（AUX）,#,#,#,#,#,5000+,5,3800+,10+,20+,0.99
10104321724879,格力（GREE）KFR-26GW/NhGc3B,//item.jd.com/10104321724879.html,南虹舒适家卖场店,2249.00,键控/遥控,三级能效,变频,#,壁挂式,冷暖,大1匹,#,#,#,#,#,#,#,格力（GREE）,#,#,#,#,#,500+,5,200+,0,4,0.98
100042349474,海信KFR-26GW/E370-X1,//item.jd.com/100042349474.html,海信京东自营旗舰店,1899.00,键控/遥控，APP操控,一级能效,变频,抗菌,壁挂式,冷暖,1匹,智能调节，自清洁，可拆洗,#,#,#,#,#,#,海信（Hisense）,#,#,#,#,#,20万+,5,13万+,200+,400+,0.99
10070229453625,长虹（CHANGHONG）KFR-72LW/ZDTTW2+R3,//item.jd.com/10070229453625.html,长虹空调官方旗舰店,3499.00,键控/遥控，APP操控,三级能效,变频,无,立柜式,冷暖,大3匹,智能调节，自清洁,#,#,#,#,#,#,长虹（CHANGHONG）,#,#,#,#,#,2000+,5,1500+,3,10,0.99
10095759985449,华蒜KFR-50GW/BpR3HSQK15(B3),//item.jd.com/10095759985449.html,华蒜家电套装旗舰店,1595.00,键控/遥控,一级能效,变频,无,壁挂式,冷暖,大1.5匹,自清洁,#,#,#,#,#,#,华蒜,#,#,#,#,#,500+,5,300+,1,5,0.98
10097661760386,TCLKFRd-72GW/D-LH11Bp(B1),//item.jd.com/10097661760386.html,TCL卓源专卖店,3399.00,键控/遥控,一级能效,变频,#,壁挂式,冷暖,大3匹,#,#,#,#,#,#,#,TCL,#,#,#,#,#,5000+,5,4500+,10+,20+,0.99
51282541183,奥克斯（AUX）KFR-33GW/BpR3PQK16(B1),//item.jd.com/51282541183.html,奥克斯天誉成专卖店,1708.00,键控/遥控,三级能效,变频,抗菌，除菌，银离子抗菌滤网,壁挂式,冷暖,1.5匹,自清洁，独立除湿,#,#,#,#,#,#,奥克斯（AUX）,#,#,#,#,#,2万+,5,1.1万+,60+,100+,0.98
10106286605688,东宝空调挂机 新能效 节能省电除湿 自清洁  变频壁挂式家用出租房卧室宿舍壁挂式空调 大1.5匹 五级能效 强劲冷暖【全铜管】 无安装服务,//item.jd.com/10106286605688.html,东宝空调官方旗舰店,1149.00,键控/遥控,五级能效,定频,#,壁挂式,冷暖,1匹,#,#,#,#,#,#,#,东宝,#,#,#,#,#,1000+,5,500+,4,8,0.98
10098274467974,康佳（KONKA）KFR-23GW/Y3,//item.jd.com/10098274467974.html,康佳空调旗舰店,1699.00,键控/遥控,一级能效,变频,无,壁挂式,冷暖,1.5匹,电辅加热，自清洁，独立除湿,#,#,#,#,#,#,康佳（KONKA）,#,#,#,#,#,1万+,5,3800+,10+,10+,0.99
100077668593,创维KFR-26GW/V3GB1B-N1,//item.jd.com/100077668593.html,创维空调京东自营旗舰店,1499.00,键控/遥控,一级能效,变频,除菌,壁挂式,冷暖,大1匹,自清洁,#,#,#,#,#,#,创维,#,#,#,#,#,2万+,5,2.1万+,50+,100+,0.99
10033491810536,申花（SHENHUA）KFRd-35GW/A9-2SH(B5),//item.jd.com/10033491810536.html,申花空调旗舰店,1299.00,键控/遥控,一级能效,变频,无,壁挂式,冷暖,1.5匹,自清洁，独立除湿,#,#,#,#,#,#,申花（SHENHUA）,#,#,#,#,#,20万+,5,9万+,1200+,4500+,0.94
10096270451420,华凌KFR-26GW/N8HA1Ⅱ,//item.jd.com/10096270451420.html,华凌智能家电旗舰店,1799.00,键控/遥控，APP操控,一级能效,变频,无,壁挂式,冷暖,大1匹,智能调节，独立除湿，可拆洗,#,#,#,#,#,#,华凌,#,#,#,#,#,2000+,5,1400+,1,1,0.99
10100508865936,先锋（SINGFUN）KFRd-36GW/A1+15BP1a ,//item.jd.com/10100508865936.html,先锋移动空调旗舰店,1499.00,键控/遥控,一级能效,变频,#,壁挂式,冷暖,大1.5匹,电辅加热，自清洁，独立除湿,#,#,#,#,#,#,先锋（SINGFUN）,#,#,#,#,#,1000+,5,600+,2,9,0.98
10065119111339,格力（GREE）KFR-26GW/NhGd1B,//item.jd.com/10065119111339.html,格力董明珠店25号店,2449.00,键控/遥控,三级能效,变频,除菌,壁挂式,冷暖,1.5匹,自清洁，可拆洗,#,#,#,#,#,#,格力（GREE）,#,#,#,#,#,1万+,5,2600+,20+,40+,0.97
100094918810,三菱重工KFRd-51L/Bp-LZA(B1),//item.jd.com/100094918810.html,奇橙家电京东自营专区,4399.00,键控/遥控,一级能效,变频,#,壁挂式,冷暖,大2匹,静音设计，可拆洗,#,#,#,#,#,#,三菱重工（MITSUBISHI）,#,#,#,#,京品空调，舒适风,1000+,5,300+,2,10+,0.96
10102327168118,夏新空调挂机套装冷暖定频家用静音壁挂式出租屋卧室除湿新能效省电自清洁以旧换新 1.5匹 套装 单冷/ 包安装,//item.jd.com/10102327168118.html,夏新空调旗舰店,1429.00,键控/遥控,五级能效,定频,无，VP-过滤网,壁挂式,单冷,1.5匹,自清洁，静音设计，独立除湿,#,#,#,#,#,#,夏新,#,#,#,#,#,200+,5,200+,1,0,0.99
10029988295072,美博（MBO）KFRD-35GW/C8-N5,//item.jd.com/10029988295072.html,MBO美博官方旗舰店,1899.00,键控/遥控,一级能效,变频,银离子抗菌滤网,壁挂式,冷暖,大1匹,智能调节，自清洁，可拆洗,#,#,#,#,#,#,美博（MBO）,#,#,#,#,#,5000+,5,600+,10,20+,0.95
10044055772977,荣事达（Royalstar）KF-26GW/RACL10+B5,//item.jd.com/10044055772977.html,荣事达飞翔专卖店,1149.00,键控/遥控,五级能效,定频,无,壁挂式,单冷,1匹,独立除湿,#,#,#,#,#,#,荣事达（Royalstar）,#,#,#,#,#,5000+,5,900+,5,30+,0.95
10108036983692,元知001,//item.jd.com/10108036983692.html,横沟卖场店,500.00,键控/遥控,一级能效,变频,#,壁挂式,冷暖,小1匹,#,#,#,#,#,#,#,元知,#,#,#,#,#,15,5,1,0,0,1.0
100055944846,奥克斯KF-26GW/BpR3AQG1(B3),//item.jd.com/100055944846.html,奥克斯（AUX）空调京喜专区,1498.00,键控/遥控,三级能效,变频,无,壁挂式,单冷,大1匹,静音设计,#,#,#,#,#,#,奥克斯（AUX）,#,#,#,#,#,1万+,5,4200+,10+,40+,0.98
10105156728433,HISENSEKY-30/A-F,//item.jd.com/10105156728433.html,京优选品电器小店,899.00,#,三级能效,定频,#,#,单冷,#,#,#,#,#,#,#,#,HISENSE,#,#,#,#,#,200+,5,60+,2,1,0.95
30409949928,奥克斯（AUX）KFR-35GW/BpR3AQE1(B1),//item.jd.com/30409949928.html,奥克斯空调万盛达专卖店,1699.00,键控/遥控,三级能效,变频,抗菌,壁挂式,冷暖,1.5匹,自清洁，独立除湿，可拆洗,#,#,#,#,#,#,奥克斯（AUX）,#,#,#,#,#,1万+,5,7700+,20+,70+,0.98
10088255787435,菱重KFRd-26GW/Bp-LZA(B1),//item.jd.com/10088255787435.html,菱重空调旗舰店,2199.00,键控/遥控,一级能效,变频,无,壁挂式,冷暖,1匹,智能调节，静音设计，独立除湿,#,#,#,#,#,#,菱重,#,#,#,#,#,80,5,40+,1,1,0.95
10085081930948,TCL可选大3匹空调一级新能效冷暖柜机家用大2匹一级新能效变频立式三级新效能圆柱柜机空调 【新品】大2匹三级母婴级柔风适用,//item.jd.com/10085081930948.html,TCL历峰专卖店,2879.00,#,#,变频,#,立柜式,冷暖,#,#,#,#,#,#,#,#,TCL,#,#,#,#,#,500+,5,400+,1,3,0.99
10098114625318,DAlKE戴克C款,//item.jd.com/10098114625318.html,DAlKE戴克巨人福专卖店,1250.00,键控/遥控,三级能效,定频,#,壁挂式,单冷,大1.5匹,#,#,#,#,#,#,#,DAlKE戴克,#,#,#,#,#,500+,5,200+,2,10+,0.93
10104658473189,长城KF-26GW/LD01+1,//item.jd.com/10104658473189.html,耀顺电器专营店,1573.75,键控/遥控,一级能效,定频,#,壁挂式,冷暖,1匹,#,#,#,#,#,#,#,长城,#,#,#,#,#,200+,4,90+,3,10+,0.85
10106463043821,扬子KFR-52LW/Q151fB1,//item.jd.com/10106463043821.html,扬子空调套装旗舰店,4399.00,键控/遥控,一级能效,变频,#,立柜式,冷暖,大3匹,#,#,#,#,#,#,#,扬子,#,#,#,#,#,200+,5,100+,0,0,1.0
100097049334,科龙KFR-72LW/QZ1-X3(2N88),//item.jd.com/100097049334.html,科龙空调京东自营旗舰店,3799.00,键控/遥控，APP操控,三级能效,变频,#,立柜式,冷暖,3匹,#,#,#,#,#,#,#,科龙（KELON）,#,#,#,#,#,10万+,5,7.8万+,100+,300+,0.99
10099437424244,格力（GREE）KFR-26GW/NhAe1BAj,//item.jd.com/10099437424244.html,格力董明珠店19号店,500.00,键控/遥控,一级能效,变频,#,壁挂式,冷暖,大1匹,#,#,#,#,#,#,#,格力（GREE）,#,#,#,#,#,36,5,0,0,0,1.0
10109382570107,格力(GREE）GMV-250WL/La,//item.jd.com/10109382570107.html,格玥空调电器拼购店,1488.00,#,一级能效,变频,#,壁挂式,冷暖,#,#,#,#,#,#,#,#,格力(GREE）,#,#,#,#,#,0,5,0,0,0,1.0
10044786497750,海信（Hisense）KFR-72GW/K220D-A1(TJ),//item.jd.com/10044786497750.html,海信云畅品专卖店,4099.00,键控/遥控，APP操控,一级能效,变频,除PM2.5，抗菌，VP-过滤网,壁挂式,冷暖,大2匹,智能调节，静音设计，可拆洗,#,#,#,#,#,#,海信（Hisense）,#,#,#,#,#,5000+,5,3200+,10+,20+,0.98
10104264895407,美博（MBO）KFRD-35GW/C8-N5,//item.jd.com/10104264895407.html,MBO美博官方旗舰店,2199.00,键控/遥控,一级能效,变频,除甲醛，抗菌,壁挂式,冷暖,1.5匹,自清洁，静音设计，可拆洗,#,#,#,#,#,#,美博（MBO）,#,#,#,#,#,5000+,5,600+,10,20+,0.95
10106286605683,东宝空调挂机 新能效 节能省电除湿 自清洁  变频壁挂式家用出租房卧室宿舍壁挂式空调 大1匹 一级能效 强劲冷暖 节能变频【全铜管】 无安装服务,//item.jd.com/10106286605683.html,东宝空调官方旗舰店,1199.00,键控/遥控,一级能效,变频,#,壁挂式,冷暖,1匹,#,#,#,#,#,#,#,东宝,#,#,#,#,#,1000+,5,600+,4,10,0.97
10094096273744,志高（CHIGO）KF-25GW/X5A-02,//item.jd.com/10094096273744.html,志高热水器旗舰店,2899.00,键控/遥控,一级能效,变频,#,壁挂式,冷暖,大2匹,自清洁，独立除湿，可拆洗,#,#,#,#,#,#,志高（CHIGO）,#,#,#,#,#,500+,5,200+,2,1,0.98
10103853019364,扬子KFRd-26GW/LFG155fT3,//item.jd.com/10103853019364.html,扬子空调套装旗舰店,2299.00,键控/遥控,一级能效,变频,#,壁挂式,冷暖,小2匹,#,#,#,#,#,#,#,扬子,#,#,#,#,#,200+,5,200+,1,0,0.99
10044336200923,荣事达（Royalstar）KF-26GW,//item.jd.com/10044336200923.html,荣事达飞翔专卖店,1149.00,键控/遥控,五级能效,定频,无,壁挂式,单冷,1匹,独立除湿,#,#,#,#,#,#,荣事达（Royalstar）,#,#,#,#,#,5000+,5,1200+,10,40+,0.96
10103304070679,格力（GREE）KFR-35GW/NhGc1B,//item.jd.com/10103304070679.html,格力董明珠店,2499.00,键控/遥控,一级能效,变频,无,壁挂式,冷暖,大1匹,自清洁，独立除湿，可拆洗,#,#,#,#,#,#,格力（GREE）,#,#,#,#,#,2万+,5,5300+,60+,200+,0.94
10102086897272,TOYODENKIKF-26GW/XH1-N5,//item.jd.com/10102086897272.html,TOYODENKI冰洗空套装旗舰店,1249.00,键控/遥控,五级能效,定频,#,壁挂式,单冷,1匹,#,#,#,#,#,#,#,TOYODENKI,#,#,#,#,#,200+,5,100+,0,2,0.98
10084217620275,DE JIANG QIU商用防爆空调挂式空调变电站危险品库油库柜式现货 M挂机1P防爆空调26型 B 1.5P防爆空调,//item.jd.com/10084217620275.html,大千汇电器专营店,3222.24,键控/遥控,三级能效,变频,抗菌，除菌，VP-过滤网,壁挂式,冷暖,1匹,无风感，自清洁，可拆洗,#,#,#,#,#,#,DE JIANG QIU,#,#,#,#,#,87,5,7,0,0,1.0
10097663418904,统帅（Leader）KFR-35GW/05LKG81TU1,//item.jd.com/10097663418904.html,海尔金奕专卖店,2099.00,键控/遥控，APP操控,一级能效,变频,#,壁挂式,冷暖,1.5匹,电辅加热，自清洁，独立除湿,#,#,#,#,#,#,统帅（Leader）,#,#,#,#,#,5000+,5,1900+,10+,20+,0.97
10109166437962,MIDEA美的美的KFR-32GW/N8KS1-3,//item.jd.com/10109166437962.html,美宁空调电器店,1648.00,键控/遥控,一级能效,变频,#,壁挂式,冷暖,2.5匹,#,#,#,#,#,#,#,#,#,#,#,#,#,0,5,0,0,0,1.0
10066941218480,格力（GREE）KFR-35GW/NhGc1B,//item.jd.com/10066941218480.html,格力空调旗舰店,2699.00,键控/遥控,一级能效,变频,抗菌,壁挂式,冷暖,1.5匹,自清洁，独立除湿，可拆洗,#,#,#,#,#,#,格力（GREE）,#,#,#,#,#,2万+,5,8400+,60+,100+,0.97
10109382729069,格力(GREE）KFR-35GW(35564)FNhAa-A1(WIFI),//item.jd.com/10109382729069.html,格玥空调电器拼购店,2728.00,#,一级能效,变频,#,壁挂式,冷暖,#,#,#,#,#,#,#,#,格力(GREE）,#,#,#,#,#,0,5,0,0,0,1.0
66462798888,荣事达（Royalstar）KF-25GW-RACL10+B5,//item.jd.com/66462798888.html,荣事达空调专卖店,998.00,键控/遥控,五级能效,定频,无,壁挂式,单冷,1匹,独立除湿,#,#,#,#,#,#,荣事达（Royalstar）,#,#,#,#,#,10万+,5,1.7万+,400+,800+,0.92
10041566434491,七星（sevenstars）KFRd-35GW/QKFU20DBp+B1,//item.jd.com/10041566434491.html,净康（宁波）电器专营店,1088.00,键控/遥控,五级能效,定频,无,壁挂式,单冷,大1匹,静音设计，独立除湿，可拆洗,#,#,#,#,#,#,七星（sevenstars）,#,#,#,#,#,2万+,5,1700+,7,10+,0.98
10103961799658,長城（CHANG CHENG）KFRd-26GW/LD01+1,//item.jd.com/10103961799658.html,惢莘家用电器专营店,1059.00,键控/遥控,一级能效,变频,VP-过滤网,壁挂式,冷暖,1.5匹,静音设计，独立除湿，可拆洗,#,#,#,#,#,#,長城（CHANG CHENG）,#,#,#,#,#,500+,5,100+,0,1,0.99
100035453875,TCLKFR-72LW/JV2Ea+B1,//item.jd.com/100035453875.html,TCL京东自营官方旗舰店,4399.00,键控/遥控，APP操控,一级能效,变频,除菌,立柜式,冷暖,3匹,智能调节，自清洁，独立除湿,#,#,#,#,#,#,TCL,#,#,#,#,净化除菌，舒适风,20万+,5,18万+,300+,900+,0.99
41543004625,科龙（KELON）KFR-26GW/QQA1(1N41),//item.jd.com/41543004625.html,科龙官方旗舰店,1799.00,键控/遥控,一级能效,变频,无,壁挂式,冷暖,1匹,自清洁，静音设计，独立除湿,#,#,#,#,#,#,科龙（KELON）,#,#,#,#,#,1万+,5,5800+,30+,50+,0.98
10109382742988,格力(GREE）GMV-250WL/La,//item.jd.com/10109382742988.html,格玥空调电器拼购店,1798.00,#,一级能效,变频,#,壁挂式,冷暖,#,#,#,#,#,#,#,#,格力(GREE）,#,#,#,#,#,0,5,0,0,0,1.0
10109181297153,JHSKF-25GW/PBCA-R5,//item.jd.com/10109181297153.html,JHS电器旗舰店,799.00,键控/遥控,五级能效,定频,#,壁挂式,单冷,1匹,#,#,#,#,#,#,#,JHS,#,#,#,#,#,0,5,0,0,0,1.0
10097208330091,科龙KFR-72LW/LY1X-X1,//item.jd.com/10097208330091.html,科龙空调优选旗舰店,500.00,键控/遥控,#,变频,无,壁挂式,冷暖,#,自清洁,#,#,#,#,#,#,科龙,#,#,#,#,#,200+,5,0,0,0,1.0
10097613341102,美的KFR-35GW/BDN8Y-YA103(1)A,//item.jd.com/10097613341102.html,智慧家居体验馆拼购店,2799.00,#,一级能效,变频,#,壁挂式,冷暖,#,#,#,#,#,#,#,#,美的,#,#,#,#,#,52,5,20+,0,0,1.0
10104362175519,双鹿旧机代扣sku，请勿下单,//item.jd.com/10104362175519.html,双鹿空调旗舰店,500.00,键控/遥控，APP操控,一级能效,变频,#,壁挂式,单冷,1匹,#,#,#,#,#,#,#,双鹿,#,#,#,#,#,16,5,0,0,0,1.0
10106498494651,CHANG CHENG【一级能效】空调1.5匹冷暖长城家用出租房卧室壁挂式舒适节能变频空调挂机 大1匹 一级能效 冷暖 上门安装,//item.jd.com/10106498494651.html,晶宇家用电器专营店,1569.00,键控/遥控,一级能效,定频,#,壁挂式,单冷,5匹,#,#,#,#,#,#,#,長城（CHANG CHENG）,#,#,#,#,#,100+,5,100+,0,0,1.0
10103189987914,DE JIANG QIU天津三菱电器空调挂机1匹1.5匹2P单一级能效冷暖出租房家用壁挂式省电变频静音大3匹柜机卧室圆柱 大1.5匹 单冷-铜管-适用面积20平 包含安装,//item.jd.com/10103189987914.html,DE JIANG QIU空调旗舰店,1708.00,键控/遥控,一级能效,定频,#,壁挂式,单冷,大1.5匹,#,#,#,#,#,#,#,DE JIANG QIU,#,#,#,#,#,500+,5,100+,4,7,0.9
10094960706339,奥克斯KFR-26GW/BpR3AQF19(B3),//item.jd.com/10094960706339.html,奥克斯瀚儒专卖店,1810.00,键控/遥控,一级能效,变频,除菌,壁挂式,冷暖,1.5匹,自清洁，静音设计，独立除湿,#,#,#,#,#,#,奥克斯,#,#,#,#,#,1000+,5,400+,2,1,0.99
10105985947444,KBN【上门安装】空调挂机单冷暖新风空调家用卧室出租房壁挂式空调节能省电新能效 大1匹 一级能效 单冷【上门安装】,//item.jd.com/10105985947444.html,顾奢电器专营店,1449.00,键控/遥控,一级能效,变频,VP-过滤网,壁挂式,冷暖,1.5匹,静音设计，独立除湿，可拆洗,#,#,#,#,#,#,KBN,#,#,#,#,#,1000+,5,100+,1,10+,0.91
